disease_id,name,crop_id,crop,pathogen_type,causal_agent,symptoms,affected_parts,favourable_conditions,growth_stage,differential_diagnosis,management
DIS_TOMATO_BW,Bacterial wilt,CROP_TOMATO,Tomato,bacterial,Ralstonia solanacearum,"Sudden wilting, brown vascular browning",root|stem,Warm wet soil,vegetative|fruiting,"Fusarium wilt (one-sided yellowing, cooler) vs Verticillium wilt vs Root-knot nematode damage","Crop rotation, resistant rootstocks, soil solarization"
DIS_TOMATO_LCV,Leaf curl,CROP_TOMATO,Tomato,viral,Tomato leaf curl virus (ToLCV),"Upward curling, yellowing, stunting",leaf,High whitefly population,seedling|vegetative,"Herbicide damage (no whitefly, not contagious) vs Water stress vs Nutrient deficiency","Whitefly control, resistant hybrids"
DIS_POTATO_LB,Late blight,CROP_POTATO,Potato,fungal,Phytophthora infestans,Brown-black lesions on leaves and tubers,leaf|tuber,Cool humid,vegetative|tuber_bulking,Early blight (concentric rings) vs Black scurf,"Metalaxyl+mancozeb, roguing"
DIS_CHILLI_ANTHRACNOSE,Anthracnose (die-back/fruit rot),CROP_CHILLI,Chilli,fungal,Colletotrichum capsici,"Sunken dark spots on fruit, die-back of twigs",fruit|stem,Warm humid,fruiting|maturity,"Sunscald (no pathogen, white papery) vs Bacterial soft rot","Carbendazim/chlorothalonil, clean seed"
DIS_CHILLI_LCV,Leaf curl,CROP_CHILLI,Chilli,viral,Chilli leaf curl virus,"Curling, puckering, stunting",leaf,Whitefly vector,seedling|vegetative,Thrips damage (silvery streaks) vs Herbicide injury vs Nutrient deficiency,"Whitefly control, resistant varieties"
DIS_ONION_PB,Purple blotch,CROP_ONION,Onion,fungal,Alternaria porri,"Purple blotches on leaves, leaf die-back",leaf,Warm humid,vegetative,"Downy mildew (grey-violet growth) vs Stemphylium blight (yellow spots, no purple)",Mancozeb/propiconazole
DIS_COTTON_LCV,Leaf curl,CROP_COTTON,Cotton,viral,Cotton leaf curl virus,"Upward curling, enations on veins",leaf,Whitefly (Bemisia tabaci),seedling|vegetative,Nutritional disorder vs Whitefly injury vs Herbicide drift,"Whitefly control, resistant varieties"
DIS_COTTON_WILT,Fusarium wilt,CROP_COTTON,Cotton,fungal,Fusarium oxysporum f. sp. vasinfectum,"Wilting, vascular discoloration",root|stem,Warm dry soil,vegetative|flowering,Verticillium wilt (V-shaped lesions) vs Root rot,"Resistant varieties, rotation"
DIS_SUGARCANE_RR,Red rot,CROP_SUGARCANE,Sugarcane,fungal,Colletotrichum falcatum,Reddening of internodes with white patches,stem,"High humidity, injury",vegetative|maturity,"Smut (whip) vs Mosaic (viral, chlorotic patterns)","Resistant varieties, clean setts, hot water treatment"
DIS_SUGARCANE_SMUT,Smut,CROP_SUGARCANE,Sugarcane,fungal,Sporisorium scitamineum,Whip-like black sorus from apex,stem|flower,Dry warm,vegetative|flowering,"Grassy shoot (phytoplasma, grassy tillers) vs Red rot","Roguing, resistant varieties"
DIS_GROUNDNUT_TIKKA,Tikka (early/late leaf spot),CROP_GROUNDNUT,Groundnut,fungal,Cercospora arachidicola / Phaeoisariopsis personata,"Circular brown spots, premature defoliation",leaf,Warm humid,vegetative|fruiting,Rust (orange pustules on underside) vs Leaf miner damage,"Carbendazim/chlorothalonil, rotation"
DIS_GRAPE_DM,Downy mildew,CROP_GRAPES,Grapes,fungal,Plasmopara viticola,"Oily yellow spots, white growth under leaf",leaf|fruit,Cool humid,vegetative|fruiting,"Powdery mildew (white powder on upper surface, dry) vs Anthracnose","Metalaxyl+mancozeb, Bordeaux mixture"
DIS_BANANA_PW,Panama wilt,CROP_BANANA,Banana,fungal,Fusarium oxysporum f. sp. cubense,"Yellowing, pseudostem splitting, vascular discoloration",root|stem,Warm soil,vegetative|fruiting,"Waterlogging/root rot vs Moko (bacterial, fruit rot) vs Nematode damage","Resistant varieties, clean planting material"
DIS_BANANA_SIGATOKA,Sigatoka leaf spot,CROP_BANANA,Banana,fungal,Mycosphaerella musicola,"Brown streaks, leaf spots, reduced photosynthesis",leaf,Humid,,,"Propiconazole, de-trashing"
DIS_MANGO_ANTH,Anthracnose,CROP_MANGO,Mango,fungal,Colletotrichum gloeosporioides,"Dark sunken lesions on leaves, flowers, fruit",leaf|flower|fruit,Rainy humid,flowering|fruiting,"Bacterial black spot (angular, raised) vs Powdery mildew",Carbendazim/thiophanate-methyl at flowering
DIS_MANGO_PM,Powdery mildew,CROP_MANGO,Mango,fungal,Oidium mangiferae,White powdery growth on inflorescence,flower|leaf,Cool dry,flowering,"Anthracnose (dark lesions, humid) vs Malformation (vegetative/floral distortion)","Wettable sulphur, dinocap"
DIS_CITRUS_CANKER,Citrus canker,CROP_ORANGE,Citrus,bacterial,Xanthomonas citri subsp. citri,Corky raised lesions with yellow halo on leaves/fruit,leaf|fruit|stem,"Warm humid, wind-driven rain",,,"Copper sprays, windbreaks, clean nursery stock"
DIS_BRINJAL_LL,Little leaf,CROP_BRINJAL,Brinjal,phytoplasma,Candidatus Phytoplasma,"Small narrow leaves, bushy stunted growth",leaf|stem,Leafhopper vector,vegetative,Viral mosaic (mottling) vs Nutrient deficiency,"Vector control, roguing, resistant varieties"
DIS_BRINJAL_BW,Bacterial wilt,CROP_BRINJAL,Brinjal,bacterial,Ralstonia solanacearum,"Wilting, vascular browning",root|stem,Warm wet soil,,,"Grafting on resistant rootstock, rotation"
DIS_OKRA_YVMV,Yellow vein mosaic,CROP_OKRA,Okra,viral,Bhendi yellow vein mosaic virus (BYVMV),"Yellowing of veins, stunting, few fruits",leaf,Whitefly vector,vegetative,Leaf curl (thrips/whitefly) vs Iron chlorosis (no yellow veins),"Whitefly control, resistant varieties"
